Date,Time,Merchant,Amount,Status,Transaction ID,UPI ID,Note,Description,Source File,Category,Classification,Credit,Debit
20-07-2025,21:37:51,Swiggy,2104.5,Success,075f7dc3-21fa-4c17-897e-ae110b52e5a0,jacob82@okaxis,Payment to Swiggy,Swiggy,Fake_GooglePay_Transaction_History.pdf,Food & Dining,Want,0.0,2104.5
22-04-2025,14:16:29,Amazon,1128.57,Success,2155ca2a-6a46-44c8-a59f-cc7a48bf999d,jacksonloretta@okaxis,Payment to Amazon,Amazon,Fake_GooglePay_Transaction_History.pdf,Shopping,Want,0.0,1128.57
27-04-2025,05:53:53,Electricity Bill,4797.37,Success,54827639-cab3-4579-b706-1edac972fe81,ulittle@okaxis,Payment to Electricity Bill,Electricity Bill,Fake_GooglePay_Transaction_History.pdf,Utilities,Need,0.0,4797.37
27-07-2025,18:43:15,Amazon,3757.51,Success,a73410a0-8ba0-4a4e-8c2a-e35eb4b30435,irwinbrandy@okaxis,Payment to Amazon,Amazon,Fake_GooglePay_Transaction_History.pdf,Shopping,Want,0.0,3757.51
24-03-2025,11:55:49,Flipkart,1070.54,Success,1e5aae2d-31ed-42ac-9c9d-5aecc96c4a53,suewaters@okaxis,Payment to Flipkart,Flipkart,Fake_GooglePay_Transaction_History.pdf,Shopping,Want,0.0,1070.54
04-03-2025,01:03:40,Uber,1564.32,Success,af7be0cc-e9cc-44a5-b688-d23416fa43c7,dawnbaker@okaxis,Payment to Uber,Uber,Fake_GooglePay_Transaction_History.pdf,Transport,Need,0.0,1564.32
18-04-2025,14:48:44,Petrol Pump,2592.96,Success,4e90437b-2cb5-4a19-8fba-6d8b3d1cff30,cherylrodriguez@okaxis,Payment to Petrol Pump,Petrol Pump,Fake_GooglePay_Transaction_History.pdf,Transport,Need,0.0,2592.96
09-07-2025,00:24:33,Water Bill,483.65,Success,a667ffaf-adf6-4fc9-bfd2-5f45b73216b3,robertwilson@okaxis,Payment to Water Bill,Water Bill,Fake_GooglePay_Transaction_History.pdf,Utilities,Need,0.0,483.65
23-04-2025,09:01:44,BookMyShow,1085.72,Success,9915d49c-b6a3-44a7-93de-0a8974cdf74d,walkerdaniel@okaxis,Payment to BookMyShow,BookMyShow,Fake_GooglePay_Transaction_History.pdf,Entertainment,Want,0.0,1085.72
29-07-2025,16:19:01,Petrol Pump,127.35,Success,b7eb5d8b-05c4-4959-ae3e-19a433af9ed8,rhodescameron@okaxis,Payment to Petrol Pump,Petrol Pump,Fake_GooglePay_Transaction_History.pdf,Transport,Need,0.0,127.35
26-04-2025,18:28:23,Movie Tickets,4522.21,Success,a5d4c003-38df-4133-bf93-15686eba381f,annallen@okaxis,Payment to Movie Tickets,Movie Tickets,Fake_GooglePay_Transaction_History.pdf,Entertainment,Want,0.0,4522.21
08-07-2025,03:21:01,Spotify,4129.46,Success,b0bf9e91-2cd0-422e-bffc-073066b5bdf8,benjamin89@okaxis,Payment to Spotify,Spotify,Fake_GooglePay_Transaction_History.pdf,Subscriptions,Want,0.0,4129.46
14-06-2025,13:53:30,MakeMyTrip,3213.77,Success,55844283-39fc-43dd-883f-9cd034f1d47f,ogamble@okaxis,Payment to MakeMyTrip,MakeMyTrip,Fake_GooglePay_Transaction_History.pdf,Transport,Want,0.0,3213.77
23-04-2025,06:13:23,Amazon,59.82,Success,ef34efbc-8690-4d78-9c6a-d13e6cb5493b,soniahoward@okaxis,Payment to Amazon,Amazon,Fake_GooglePay_Transaction_History.pdf,Shopping,Want,0.0,59.82
06-07-2025,23:30:41,YouTube Premium,4405.6,Success,397bc399-c8d7-4e02-9668-cd173d3281db,emily69@okaxis,Payment to YouTube Premium,YouTube Premium,Fake_GooglePay_Transaction_History.pdf,Subscriptions,Want,0.0,4405.6
10-03-2025,09:20:01,Reliance Fresh,3758.64,Success,30d42bda-7b10-4e2f-8c04-f65d732f6d6b,jesus84@okaxis,Payment to Reliance Fresh,Reliance Fresh,Fake_GooglePay_Transaction_History.pdf,Groceries,Need,0.0,3758.64
27-02-2025,09:53:24,Airtel Recharge,3246.14,Success,58d2cd81-bd50-4a73-b920-95d228277f6e,brandon42@okaxis,Payment to Airtel Recharge,Airtel Recharge,Fake_GooglePay_Transaction_History.pdf,Utilities,Need,0.0,3246.14
15-07-2025,03:11:44,BookMyShow,1050.69,Success,4a4013d6-4a07-4c37-935e-89ea8cbf53cc,shawmorgan@okaxis,Payment to BookMyShow,BookMyShow,Fake_GooglePay_Transaction_History.pdf,Entertainment,Want,0.0,1050.69
29-07-2025,08:48:01,Zomato,2420.0,Success,bc8d591f-55ba-41cb-8c53-7e3ddb3858d1,colin13@okaxis,Payment to Zomato,Zomato,Fake_GooglePay_Transaction_History.pdf,Food & Dining,Want,0.0,2420.0
16-03-2025,01:25:19,Google Play,3713.85,Success,1a977a9d-8c06-4f76-b491-d90b4309d814,yblevins@okaxis,Payment to Google Play,Google Play,Fake_GooglePay_Transaction_History.pdf,Entertainment,Want,0.0,3713.85
11-06-2025,21:37:44,Water Bill,1695.69,Success,97b1f8b7-9bd1-43a7-9563-2f87cd138a6a,piercecatherine@okaxis,Payment to Water Bill,Water Bill,Fake_GooglePay_Transaction_History.pdf,Utilities,Need,0.0,1695.69
23-03-2025,02:53:47,Local Kirana,4309.08,Success,5509dabe-f62c-4107-99d9-d7d6f2c58800,lori26@okaxis,Payment to Local Kirana,Local Kirana,Fake_GooglePay_Transaction_History.pdf,Groceries,Need,0.0,4309.08
15-04-2025,01:32:37,Reliance Fresh,3091.45,Success,039c99f7-21a2-4dae-9d96-df1241b44428,ihardin@okaxis,Payment to Reliance Fresh,Reliance Fresh,Fake_GooglePay_Transaction_History.pdf,Groceries,Need,0.0,3091.45
23-04-2025,10:02:08,Google Play,440.4,Success,3d2bb38f-6e20-4b6f-9502-b98cc7660456,brasmussen@okaxis,Payment to Google Play,Google Play,Fake_GooglePay_Transaction_History.pdf,Entertainment,Want,0.0,440.4
25-03-2025,07:29:45,Zomato,2266.39,Success,70f3b87c-246a-4e3f-a3fa-a8ac02241c96,davidpennington@okaxis,Payment to Zomato,Zomato,Fake_GooglePay_Transaction_History.pdf,Food & Dining,Want,0.0,2266.39
19-04-2025,06:20:36,Myntra,2131.59,Success,b9b33a98-eabf-4075-bee2-33fe7879e326,tpearson@okaxis,Payment to Myntra,Myntra,Fake_GooglePay_Transaction_History.pdf,Shopping,Want,0.0,2131.59
07-07-2025,08:44:03,Flipkart,1298.06,Success,ba4418eb-f6ac-47dd-9003-8f9dfa13a67e,debbie26@okaxis,Payment to Flipkart,Flipkart,Fake_GooglePay_Transaction_History.pdf,Shopping,Want,0.0,1298.06
